erreurs k npp


(' k :', 1)
('erreur : id : ', 0, ' k :', 1, ' predite :', 1, ' reele :', 7)
(' k :', 9)
('erreur : id : ', 0, ' k :', 9, ' predite :', 5, ' reele :', 7)
('erreur : id : ', 1, ' k :', 9, ' predite :', 6, ' reele :', 2)
('erreur : id : ', 2, ' k :', 9, ' predite :', 7, ' reele :', 1)
('erreur : id : ', 3, ' k :', 9, ' predite :', 3, ' reele :', 0)
('erreur : id : ', 4, ' k :', 9, ' predite :', 5, ' reele :', 4)
('erreur : id : ', 5, ' k :', 9, ' predite :', 8, ' reele :', 1)
('erreur : id : ', 6, ' k :', 9, ' predite :', 5, ' reele :', 4)
('erreur : id : ', 8, ' k :', 9, ' predite :', 7, ' reele :', 5)
('erreur : id : ', 9, ' k :', 9, ' predite :', 8, ' reele :', 9)
(' k :', 10)
('erreur : id : ', 0, ' k :', 10, ' predite :', 5, ' reele :', 7)
('erreur : id : ', 1, ' k :', 10, ' predite :', 7, ' reele :', 2)
('erreur : id : ', 2, ' k :', 10, ' predite :', 8, ' reele :', 1)
('erreur : id : ', 3, ' k :', 10, ' predite :', 3, ' reele :', 0)
('erreur : id : ', 4, ' k :', 10, ' predite :', 6, ' reele :', 4)
('erreur : id : ', 5, ' k :', 10, ' predite :', 9, ' reele :', 1)
('erreur : id : ', 6, ' k :', 10, ' predite :', 6, ' reele :', 4)
('erreur : id : ', 7, ' k :', 10, ' predite :', 10, ' reele :', 9)
('erreur : id : ', 8, ' k :', 10, ' predite :', 8, ' reele :', 5)

